property_type,places,currency,price_aprox_usd,surface_total_in_m2,price_usd_per_m2,latitude,longitude,has_garden
apartment,MiguelHidalgo,MXN,289775.7,54.0,5366.2,23.634501,-102.552788,No
house,Iztapalapa,MXN,79662.0,80.0,995.8,19.31033,-99.068557,No
apartment,Tlalpan,MXN,48822.8,100.0,488.2,19.279771,-99.234597,No
apartment,MiguelHidalgo,MXN,337720.4,135.0,2501.6,23.634501,-102.552788,No
apartment,MiguelHidalgo,MXN,232663.5,87.0,2674.3,19.432657,-99.177444,No
apartment,BenitoJuarez,MXN,166001.8,100.0,1660.0,19.367025,-99.170349,No
house,AlvaroObregon,MXN,109939.1,205.0,536.3,19.340909,-99.22511,No
house,GustavoAMadero,MXN,84298.4,144.0,585.4,19.509359,-99.093272,No
house,MiguelHidalgo,MXN,231775.4,304.0,762.4,19.432901,-99.213075,No
apartment,BenitoJuarez,MXN,94022.7,57.0,1649.5,23.634501,-102.552788,No
apartment,BenitoJuarez,MXN,172446.9,83.0,2077.7,19.3794059,-99.1591446,No
apartment,BenitoJuarez,MXN,66385.0,103.0,644.5,19.36269,-99.150565,No
house,Cuauhtemoc,MXN,257634.8,530.0,486.1,19.452952,-99.158166,No
house,AlvaroObregon,MXN,37229.0,90.0,413.7,19.342911,-99.224472,No
house,GustavoAMadero,MXN,117490.8,120.0,979.1,19.491083,-99.07564,No
apartment,MiguelHidalgo,USD,1016611.0,149.0,6822.9,19.407269,-99.190754,No
apartment,Iztacalco,MXN,70880.1,56.0,1265.7,19.4024128,-99.0953907,No
apartment,BenitoJuarez,MXN,68229.0,80.0,852.9,19.35782,-99.149406,No
apartment,Azcapotzalco,MXN,24235.8,60.0,403.9,19.504985,-99.208557,No
apartment,BenitoJuarez,MXN,258163.8,120.0,2151.4,19.376792,-99.153132,No
house,VenustianoCarranza,MXN,89567.0,220.0,407.1,19.433895,-99.091159,No
apartment,Coyoacan,MXN,94140.2,50.0,1882.8,19.354219,-99.126244,No
apartment,Cuauhtemoc,MXN,34879.8,16.0,2180.0,19.439716,-99.152892,No
house,GustavoAMadero,MXN,37223.0,90.0,413.6,19.543273,-99.148777,No
house,Tlalpan,MXN,131747.4,331.0,398.0,19.2690778853,-99.2035388947,Yes
apartment,MiguelHidalgo,USD,1750000.0,734.0,2384.2,19.420166,-99.220367,No
