,property_type,places,currency,price_aprox_usd,surface_total_in_m2,price_usd_per_m2,latitude,longitude,has_garden
15,apartment,MiguelHidalgo,USD,1016611.0,149.0,6823.0,19.407269,-99.190754,No
25,apartment,MiguelHidalgo,USD,1750000.0,734.0,2384.0,19.420166,-99.220367,No
28,apartment,MiguelHidalgo,USD,1125000.0,260.0,4327.0,19.430456,-99.1889121,No
47,apartment,MiguelHidalgo,MXN,1053980.0,190.0,5547.0,19.430456,-99.1889121,No
70,house,MiguelHidalgo,USD,4000000.0,713.0,5610.0,19.420166,-99.220367,Yes
88,apartment,MiguelHidalgo,USD,1673373.0,228.0,7339.0,19.407269,-99.190754,No
105,house,Cuajimalpa,MXN,2160658.0,700.0,3087.0,19.390415,-99.254997,No
128,apartment,MiguelHidalgo,USD,1350000.0,350.0,3857.0,19.4011351582,-99.2554439631,No
138,house,AlvaroObregon,MXN,1577960.0,1084.0,1456.0,19.326543,-99.195963,No
139,apartment,MiguelHidalgo,MXN,1027630.0,297.0,3460.0,19.407269,-99.190754,Yes
184,apartment,Cuajimalpa,MXN,1106679.0,555.0,1994.0,19.35735,-99.299792,No
189,apartment,MiguelHidalgo,USD,1256606.0,206.0,6100.0,19.407269,-99.190754,No
192,house,MiguelHidalgo,USD,3350000.0,1100.0,3045.0,19.4122137,-99.2153341,No
203,house,Cuajimalpa,MXN,1132759.0,682.0,1661.0,19.395424,-99.258068,No
223,house,MiguelHidalgo,MXN,1185727.0,450.0,2635.0,19.4010793,-99.2480728,No
240,apartment,MiguelHidalgo,USD,1450000.0,220.0,6591.0,19.407269,-99.190754,No
246,house,AlvaroObregon,USD,2000000.0,1332.0,1502.0,19.3472426513,-99.1838417575,Yes
273,apartment,MiguelHidalgo,USD,1850000.0,400.0,4625.0,19.396714267,-99.2374929786,No
282,house,MiguelHidalgo,MXN,1028495.0,232.0,4433.0,19.4326577,-99.1774462,No
298,apartment,AlvaroObregon,USD,1500000.0,350.0,4286.0,19.371342,-99.253616,No
300,house,MiguelHidalgo,MXN,1014917.0,600.0,1692.0,19.407269,-99.190754,No
353,house,AlvaroObregon,USD,3000000.0,1250.0,2400.0,19.320575,-99.20929,Yes
370,house,MiguelHidalgo,USD,1350000.0,700.0,1929.0,19.402305,-99.240641,No
375,apartment,MiguelHidalgo,USD,1215000.0,256.0,4746.0,19.4368736,-99.1973268,Yes
377,house,MiguelHidalgo,USD,9000000.0,1200.0,7500.0,19.3818873,-99.2202827,No
409,house,MiguelHidalgo,MXN,1211789.0,920.0,1317.0,19.405625,-99.237868,No
425,house,MiguelHidalgo,USD,2500000.0,1100.0,2273.0,19.420166,-99.220367,Yes
441,apartment,MiguelHidalgo,USD,2500000.0,325.0,7692.0,19.407269,-99.190754,No
451,apartment,MiguelHidalgo,MXN,1027386.0,180.0,5708.0,23.634501,-102.552788,No
459,house,AlvaroObregon,MXN,1501921.0,420.0,3576.0,19.390806,-99.195413,No
497,house,AlvaroObregon,MXN,1085599.0,800.0,1357.0,19.3228543,-99.2059887,Yes
531,house,AlvaroObregon,MXN,1475222.0,750.0,1967.0,19.353921,-99.190427,No
590,apartment,MiguelHidalgo,USD,2513000.0,349.0,7201.0,19.433077,-99.198212,No
623,house,MiguelHidalgo,USD,2000000.0,413.0,4843.0,19.420166,-99.220367,No
704,house,AlvaroObregon,USD,3400000.0,926.0,3672.0,19.320661,-99.204251,No
724,house,Tlalpan,MXN,1264476.0,780.0,1621.0,19.303358,-99.203,No
801,apartment,MiguelHidalgo,MXN,1212076.0,420.0,2886.0,19.4318149,-99.1940586,No
807,house,MiguelHidalgo,USD,2300000.0,1000.0,2300.0,19.430925,-99.209978,No
809,house,MiguelHidalgo,USD,1500000.0,1100.0,1364.0,19.4032760464,-99.2538713053,Yes
819,apartment,MiguelHidalgo,USD,1939140.0,317.0,6117.0,19.407269,-99.190754,Yes
855,house,AlvaroObregon,MXN,1106416.0,750.0,1475.0,19.3559202,-99.1802147,No
860,house,MiguelHidalgo,USD,17890000.0,630.0,28397.0,19.4010793,-99.2480728,No
866,apartment,MiguelHidalgo,MXN,1264476.0,240.0,5269.0,19.429747,-99.18823,No
925,house,Tlalpan,MXN,197621.0,1850.0,107.0,19.199665,-99.153915,Yes
946,house,Tlalpan,MXN,1159103.0,800.0,1449.0,19.297926,-99.203158,No
948,house,MiguelHidalgo,USD,1990000.0,580.0,3431.0,19.401079,-99.24807,No
965,house,MiguelHidalgo,MXN,1185727.0,560.0,2117.0,19.394116,-99.251255,No
1028,apartment,MiguelHidalgo,USD,1370000.0,500.0,2740.0,19.4223,-99.228164,No
1055,apartment,MiguelHidalgo,USD,1256606.0,206.0,6100.0,19.407269,-99.190754,Yes
1065,apartment,Cuajimalpa,MXN,8429837.0,350.0,24085.0,19.3470575,-99.2965778,No
1066,apartment,MiguelHidalgo,USD,1500000.0,410.0,3659.0,19.401079,-99.24807,No
1095,apartment,MiguelHidalgo,USD,2108620.0,482.0,4375.0,19.407269,-99.190754,No
1103,house,MiguelHidalgo,USD,2000000.0,750.0,2667.0,19.420166,-99.220367,No
1142,house,MiguelHidalgo,USD,1150000.0,523.0,2199.0,19.401079,-99.24807,Yes
