property_type,places,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,latitude,longitude
apartment,MiguelHidalgo,5500000.0,MXN,5450245.5,289775.7,54.0,54.0,3751.7,63227.2,23.634501,-102.552788
house,Iztapalapa,1512000.0,MXN,1498322.0,79662.0,80.0,80.0,995.8,18900.0,19.31033,-99.068557
apartment,Tlalpan,926667.0,MXN,918284.0,48822.8,100.0,100.0,488.2,9266.7,19.279771,-99.234597
apartment,MiguelHidalgo,6410000.0,MXN,6352013.4,337720.4,135.0,135.0,2501.6,47481.5,23.634501,-102.552788
apartment,MiguelHidalgo,4416000.0,MXN,4376051.6,232663.5,87.0,87.0,2674.3,50758.6,19.432657,-99.177444
apartment,BenitoJuarez,3150000.0,MXN,3122244.5,166001.8,100.0,100.0,1660.0,31500.0,19.367025,-99.170349
house,AlvaroObregon,2086666.0,MXN,2067789.4,109939.1,205.0,205.0,536.3,10178.9,19.340909,-99.22511
house,GustavoAMadero,1600000.0,MXN,1585525.9,84298.4,144.0,144.0,585.4,11111.1,19.509359,-99.093272
house,MiguelHidalgo,4398100.0,MXN,4359347.0,231775.4,304.0,304.0,762.4,14467.4,19.432901,-99.213075
apartment,BenitoJuarez,1784569.0,MXN,1768425.2,94022.7,57.0,57.0,1649.5,31308.2,23.634501,-102.552788
apartment,BenitoJuarez,3272300.0,MXN,3243466.8,172446.9,83.0,83.0,2077.7,39425.3,19.3794059,-99.1591446
apartment,BenitoJuarez,1260000.0,MXN,1248601.5,66385.0,103.0,103.0,644.5,12233.0,19.36269,-99.150565
house,Cuauhtemoc,4888800.0,MXN,4845723.4,257634.8,407.5,440.0,486.1,9224.2,19.452952,-99.158166
house,AlvaroObregon,706447.0,MXN,700222.2,37229.0,90.0,90.0,413.7,7849.4,19.342911,-99.224472
house,GustavoAMadero,2230000.0,MXN,2209826.6,117490.8,120.0,120.0,979.1,18583.3,19.491083,-99.07564
apartment,MiguelHidalgo,1016611.0,USD,10751847.6,571648.3,149.0,149.0,3751.7,6822.9,19.407269,-99.190754
apartment,Iztacalco,1345000.0,MXN,1333148.7,70880.1,56.0,56.0,1265.7,24017.9,19.4024128,-99.0953907
apartment,BenitoJuarez,1295000.0,MXN,1283285.0,68229.0,80.0,80.0,852.9,16187.5,19.35782,-99.149406
